"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat.RDB"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"0.5"	"0.08"	"1"	"47"	"MLE"	"0.98268"	"0.53737"	"0.5788"	"0.42849"	"0.92443"	"0.04335"	"14.75638"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"48"	"MLE"	"0.96473"	"0.547"	"0.53827"	"0.46537"	"0.86938"	"0.05781"	"12.45304"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"49"	"MLE"	"1.20904"	"0.37363"	"0.33955"	"0.37886"	"0.91839"	"0.05188"	"13.31945"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"50"	"MLE"	"1.03758"	"0.43119"	"0.51387"	"0.56104"	"0.95369"	"0.03594"	"16.25642"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"51"	"MLE"	"1.32698"	"0.40406"	"0.40622"	"0.33533"	"0.95568"	"0.04451"	"14.54506"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"52"	"MLE"	"0.88505"	"0.5069"	"0.62343"	"0.65386"	"0.78388"	"0.07156"	"10.74595"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"53"	"MLE"	"1.16614"	"0.41184"	"0.34346"	"0.45541"	"0.92436"	"0.05809"	"12.41496"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"54"	"MLE"	"0.984"	"0.49738"	"0.40515"	"0.61347"	"0.6893"	"0.10305"	"7.82863"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"55"	"MLE"	"1.08112"	"0.42787"	"0.33681"	"0.55875"	"0.97226"	"0.03078"	"17.49533"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"56"	"MLE"	"0.90359"	"0.51892"	"0.5629"	"0.60537"	"0.60272"	"0.07962"	"9.89248"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"57"	"MLE"	"1.11252"	"0.39955"	"0.39871"	"0.56576"	"0.89123"	"0.05864"	"12.33884"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"58"	"MLE"	"1.06414"	"0.44413"	"0.36849"	"0.51118"	"0.91522"	"0.05128"	"13.41212"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"59"	"MLE"	"1.07704"	"0.47368"	"0.30151"	"0.52172"	"0.85942"	"0.06699"	"11.27439"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"60"	"MLE"	"0.91175"	"0.55591"	"0.49814"	"0.5821"	"0.91697"	"0.04685"	"14.13441"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"61"	"MLE"	"1.4997"	"0.25303"	"0.3022"	"0.28376"	"0.92315"	"0.05643"	"12.64596"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"62"	"MLE"	"1.49578"	"0.33338"	"0.3315"	"0.30494"	"0.94384"	"0.05288"	"13.16702"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"63"	"MLE"	"3.25377"	"0.11438"	"0.1355"	"0.11678"	"0.88641"	"0.08229"	"9.62853"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"64"	"MLE"	"1.10375"	"0.56397"	"0.37486"	"0.47414"	"0.86377"	"0.0606"	"12.07589"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"65"	"MLE"	"0.91764"	"0.55618"	"0.79622"	"0.67278"	"0.80891"	"0.05192"	"13.31222"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"66"	"MLE"	"1.35526"	"0.34965"	"0.38419"	"0.36224"	"0.70853"	"0.10018"	"8.05503"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"67"	"MLE"	"0.86981"	"0.66636"	"0.42637"	"0.6348"	"0.94357"	"0.03396"	"16.71016"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"68"	"MLE"	"0.91748"	"0.54588"	"0.39317"	"0.50547"	"0.74258"	"0.08164"	"9.69228"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"69"	"MLE"	"1.16702"	"0.47153"	"0.43529"	"0.27743"	"0.9583"	"0.03956"	"15.48856"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"70"	"MLE"	"0.9897"	"0.54393"	"0.51251"	"0.52224"	"0.95268"	"0.03561"	"16.33013"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"71"	"MLE"	"1.10177"	"0.42292"	"0.48472"	"0.46734"	"0.74344"	"0.08113"	"9.74189"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"72"	"MLE"	"1.364"	"0.39516"	"0.37962"	"0.20324"	"0.71313"	"0.1152"	"6.93738"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"73"	"MLE"	"1.08219"	"0.34327"	"0.39136"	"0.41952"	"0.95248"	"0.03482"	"16.50823"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"74"	"MLE"	"0.91724"	"0.52188"	"0.65909"	"0.58203"	"0.9684"	"0.02307"	"19.80314"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"75"	"MLE"	"1.11931"	"0.23349"	"0.49959"	"0.4561"	"0.83047"	"0.07603"	"10.26203"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"76"	"MLE"	"1.1777"	"0.45854"	"0.29062"	"0.49216"	"0.83198"	"0.08016"	"9.83785"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"77"	"MLE"	"1.13575"	"0.43362"	"0.46136"	"0.37474"	"0.98321"	"0.02414"	"19.43994"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"78"	"MLE"	"0.77885"	"0.5628"	"0.55844"	"0.73159"	"0.7927"	"0.05655"	"12.62887"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"79"	"MLE"	"1.01729"	"0.52032"	"0.41834"	"0.40179"	"0.94218"	"0.04349"	"14.73002"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"80"	"MLE"	"1.142"	"0.3106"	"0.46097"	"0.49605"	"0.57004"	"0.12313"	"6.40471"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"81"	"MLE"	"0.89784"	"0.56655"	"0.60407"	"0.49372"	"0.94146"	"0.03201"	"17.18176"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"82"	"MLE"	"0.80119"	"0.69218"	"0.57362"	"0.39654"	"0.763"	"0.06781"	"11.17718"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"83"	"MLE"	"1.04081"	"0.29817"	"0.50431"	"0.4451"	"0.86615"	"0.07238"	"10.65528"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"84"	"MLE"	"1.00688"	"0.45469"	"0.53137"	"0.48424"	"0.99481"	"0.01118"	"25.59937"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"85"	"MLE"	"0.87322"	"0.65177"	"0.71835"	"0.26022"	"0.46572"	"0.092"	"8.73592"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"86"	"MLE"	"0.97231"	"0.38595"	"0.52288"	"0.55492"	"0.77064"	"0.07269"	"10.6208"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"87"	"MLE"	"1.07896"	"0.34764"	"0.45965"	"0.64864"	"0.64883"	"0.10373"	"7.77602"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"88"	"MLE"	"0.97405"	"0.40835"	"0.41007"	"0.52472"	"0.96882"	"0.02863"	"18.07579"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"89"	"MLE"	"0.975"	"0.58527"	"0.48832"	"0.45918"	"0.91426"	"0.05177"	"13.33644"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"90"	"MLE"	"1.20798"	"0.39493"	"0.3925"	"0.36416"	"0.92303"	"0.05387"	"13.01806"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"91"	"MLE"	"0.95106"	"0.42768"	"0.53933"	"0.54225"	"0.99223"	"0.01381"	"23.90801"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"92"	"MLE"	"1.09976"	"0.50404"	"0.40376"	"0.46946"	"0.8023"	"0.07082"	"10.8294"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"93"	"MLE"	"1.10994"	"0.46502"	"0.4788"	"0.46825"	"0.89686"	"0.05876"	"12.32297"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"94"	"MLE"	"1.10794"	"0.55814"	"0.49607"	"0.23564"	"0.51415"	"0.13156"	"5.87459"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"95"	"MLE"	"1.0076"	"0.50197"	"0.36885"	"0.46851"	"0.97428"	"0.0264"	"18.72293"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"96"	"MLE"	"1.20181"	"0.46506"	"0.46143"	"0.21929"	"0.71191"	"0.12182"	"6.49049"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"97"	"MLE"	"1.52016"	"0.21386"	"0.3458"	"0.36124"	"0.94328"	"0.05777"	"12.45876"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"98"	"MLE"	"0.88593"	"0.63858"	"0.42564"	"0.50956"	"0.6635"	"0.08846"	"9.04971"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"99"	"MLE"	"1.20997"	"0.3393"	"0.37532"	"0.43201"	"0.9038"	"0.06905"	"11.03136"	NA
"stick"	"3"	"0.5"	"0.08"	"1"	"100"	"MLE"	"0.95843"	"0.67579"	"0.30833"	"0.54511"	"0.59579"	"0.09651"	"8.35374"	NA
