"model"	"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat.MLE"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2"	"sig.hat"	"logLike"	"P"
"stick"	"3"	"-0.2"	"0.05"	"1"	"38"	"MLE"	"0.49154"	"-0.48053"	"-0.32039"	"-0.31646"	"0.95459"	"0.04917"	"13.74856"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"39"	"max"	"0.1"	"-1.21485"	"-1.12911"	"-0.99487"	"0.45078"	"0.13123"	"5.89491"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"40"	"MLE"	"0.94627"	"-0.17219"	"-0.20116"	"-0.23167"	"0.98212"	"0.02568"	"18.94536"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"41"	"max"	"0.1"	"-0.94021"	"-1.22019"	"-1.37762"	"0.37639"	"0.15329"	"4.6521"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"42"	"MLE"	"0.96517"	"-0.1338"	"-0.20344"	"-0.23693"	"0.91489"	"0.05485"	"12.87364"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"43"	"MLE"	"0.49419"	"-0.38342"	"-0.36715"	"-0.30955"	"0.99533"	"0.01387"	"23.87335"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"44"	"MLE"	"0.36793"	"-0.52148"	"-0.39346"	"-0.47573"	"0.96453"	"0.04156"	"15.09423"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"45"	"MLE"	"6.57127"	"-0.03293"	"-0.0334"	"-0.036"	"0.90803"	"0.0516"	"13.36242"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"46"	"MLE"	"0.47354"	"-0.29827"	"-0.32792"	"-0.48445"	"0.96343"	"0.03954"	"15.49109"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"47"	"RDB"	"0.82429"	"-0.22171"	"-0.23261"	"-0.24243"	"0.8978"	"0.05912"	"12.27372"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"48"	"MLE"	"3.00797"	"-0.07608"	"-0.07886"	"-0.06396"	"0.86524"	"0.07991"	"9.86374"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"49"	"MLE"	"0.50552"	"-0.37176"	"-0.33362"	"-0.36799"	"0.97319"	"0.03619"	"16.2012"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"50"	"MLE"	"0.65415"	"-0.24228"	"-0.2222"	"-0.41039"	"0.94754"	"0.04767"	"13.99637"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"51"	"MLE"	"1.95053"	"-0.1377"	"-0.11745"	"-0.06812"	"0.93963"	"0.05157"	"13.36705"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"52"	"MLE"	"0.68378"	"-0.25872"	"-0.29185"	"-0.31769"	"0.97351"	"0.03484"	"16.50473"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"53"	"MLE"	"1.2959"	"-0.16842"	"-0.1547"	"-0.15558"	"0.98804"	"0.02136"	"20.41915"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"54"	"MLE"	"0.76126"	"-0.24743"	"-0.25265"	"-0.23456"	"0.961"	"0.03971"	"15.45692"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"55"	"MLE"	"0.98845"	"-0.25266"	"-0.18161"	"-0.20809"	"0.93531"	"0.05406"	"12.98953"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"56"	"MLE"	"2.44685"	"-0.09763"	"-0.10452"	"-0.06482"	"0.97943"	"0.02663"	"18.65378"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"57"	"MLE"	"1.08582"	"-0.22438"	"-0.19537"	"-0.16981"	"0.98342"	"0.02781"	"18.30841"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"58"	"max"	"0.1"	"-1.22889"	"-1.00346"	"-1.26133"	"0.33596"	"0.15615"	"4.50399"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"59"	"MLE"	"1.27762"	"-0.16923"	"-0.12426"	"-0.16943"	"0.9075"	"0.06128"	"11.98729"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"60"	"MLE"	"1.34575"	"-0.17246"	"-0.15713"	"-0.17384"	"0.98687"	"0.02392"	"19.51295"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"61"	"MLE"	"1.11847"	"-0.17703"	"-0.18717"	"-0.16936"	"0.96636"	"0.03662"	"16.10642"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"62"	"MLE"	"1.89986"	"-0.11689"	"-0.10024"	"-0.12214"	"0.95089"	"0.04574"	"14.32588"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"63"	"MLE"	"0.38165"	"-0.43103"	"-0.31416"	"-0.54347"	"0.94387"	"0.04921"	"13.7413"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"64"	"MLE"	"2.13715"	"-0.09831"	"-0.11808"	"-0.0893"	"0.99775"	"0.00906"	"27.28083"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"65"	"max"	"0.1"	"-1.03039"	"-1.26359"	"-1.14179"	"0.35792"	"0.15044"	"4.802"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"66"	"MLE"	"1.24012"	"-0.10932"	"-0.19704"	"-0.17743"	"0.94709"	"0.04475"	"14.50262"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"67"	"MLE"	"1.27083"	"-0.20732"	"-0.12647"	"-0.12744"	"0.97398"	"0.03187"	"17.21607"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"68"	"MLE"	"0.44042"	"-0.48969"	"-0.30987"	"-0.37272"	"0.96626"	"0.04103"	"15.19549"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"69"	"MLE"	"0.41639"	"-0.43164"	"-0.39791"	"-0.45923"	"0.9891"	"0.02344"	"19.67477"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"70"	"MLE"	"1.20745"	"-0.1771"	"-0.13203"	"-0.20835"	"0.92699"	"0.05869"	"12.33256"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"71"	"MLE"	"2.02126"	"-0.10759"	"-0.10712"	"-0.07439"	"0.94319"	"0.04099"	"15.20319"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"72"	"MLE"	"2.42334"	"-0.08985"	"-0.104"	"-0.07938"	"0.97716"	"0.02963"	"17.79976"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"73"	"MLE"	"0.51047"	"-0.34228"	"-0.31746"	"-0.39142"	"0.92165"	"0.05662"	"12.61904"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"74"	"MLE"	"1.79259"	"-0.11884"	"-0.15482"	"-0.1057"	"0.97719"	"0.03142"	"17.33033"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"75"	"MLE"	"0.29781"	"-0.60028"	"-0.56171"	"-0.50057"	"0.9817"	"0.03271"	"17.01023"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"76"	"RDB"	"1.76549"	"-0.12598"	"-0.1212"	"-0.10292"	"0.91304"	"0.0512"	"13.42499"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"77"	"MLE"	"0.38451"	"-0.63671"	"-0.37626"	"-0.41365"	"0.97632"	"0.03929"	"15.54274"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"78"	"RDB"	"2.41639"	"-0.07344"	"-0.08337"	"-0.08374"	"0.97168"	"0.02649"	"18.69676"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"79"	"MLE"	"0.28471"	"-0.54416"	"-0.57689"	"-0.53848"	"0.942"	"0.05685"	"12.58754"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"80"	"MLE"	"3.89534"	"-0.04243"	"-0.06429"	"-0.05146"	"0.96332"	"0.0321"	"17.15989"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"81"	"max"	"0.1"	"-1.07856"	"-1.53572"	"-0.73721"	"0.40406"	"0.12958"	"5.99591"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"82"	"MLE"	"0.94417"	"-0.16695"	"-0.22454"	"-0.22378"	"0.97456"	"0.03176"	"17.24589"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"83"	"MLE"	"0.63328"	"-0.3005"	"-0.33238"	"-0.23061"	"0.94756"	"0.04398"	"14.64108"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"84"	"max"	"0.1"	"-0.83481"	"-1.07802"	"-1.40161"	"0.47423"	"0.12334"	"6.39088"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"85"	"MLE"	"0.67894"	"-0.35387"	"-0.20061"	"-0.27918"	"0.94983"	"0.04667"	"14.16648"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"86"	"MLE"	"0.9773"	"-0.19125"	"-0.15264"	"-0.24627"	"0.94565"	"0.04547"	"14.37425"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"87"	"MLE"	"1.97408"	"-0.12485"	"-0.1163"	"-0.0842"	"0.98852"	"0.02109"	"20.51846"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"88"	"RDB"	"1.52357"	"-0.12213"	"-0.16187"	"-0.10682"	"0.97179"	"0.02815"	"18.21142"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"89"	"MLE"	"0.76739"	"-0.20098"	"-0.26781"	"-0.32621"	"0.96308"	"0.04351"	"14.72736"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"90"	"MLE"	"1.11028"	"-0.19382"	"-0.15938"	"-0.17436"	"0.97153"	"0.03192"	"17.20517"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"91"	"MLE"	"0.99637"	"-0.19153"	"-0.22961"	"-0.23825"	"0.95788"	"0.04388"	"14.65805"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"92"	"MLE"	"0.54507"	"-0.35147"	"-0.33489"	"-0.32197"	"0.97762"	"0.03299"	"16.94135"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"93"	"MLE"	"0.35462"	"-0.51601"	"-0.41018"	"-0.40504"	"0.96484"	"0.03747"	"15.92138"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"94"	"MLE"	"0.3353"	"-0.48196"	"-0.57487"	"-0.41857"	"0.95256"	"0.04772"	"13.98817"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"95"	"MLE"	"0.68207"	"-0.27788"	"-0.32172"	"-0.25731"	"0.96632"	"0.0376"	"15.89356"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"96"	"MLE"	"2.90787"	"-0.08815"	"-0.07034"	"-0.06927"	"0.95423"	"0.03827"	"15.75355"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"97"	"MLE"	"0.69457"	"-0.29946"	"-0.22873"	"-0.33356"	"0.98164"	"0.02883"	"18.01892"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"98"	"MLE"	"1.47868"	"-0.1358"	"-0.16181"	"-0.12476"	"0.96413"	"0.03487"	"16.49837"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"99"	"MLE"	"1.17002"	"-0.20026"	"-0.19339"	"-0.15805"	"0.9807"	"0.02877"	"18.03594"	NA
"stick"	"3"	"-0.2"	"0.05"	"1"	"100"	"max"	"0.1"	"-1.28995"	"-0.77093"	"-1.23392"	"-0.01041"	"0.14714"	"4.97948"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"1"	"MLE"	"3.92704"	"-0.06319"	"-0.05694"	"-0.03669"	"0.80105"	"0.09266"	"8.67944"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"2"	"MLE"	"6.79595"	"-0.01883"	"-0.04479"	"-0.04122"	"0.93902"	"0.05046"	"13.5414"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"3"	"max"	"0.1"	"-1.79586"	"-0.89258"	"-0.66341"	"0.55615"	"0.11653"	"6.84567"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"4"	"MLE"	"0.66102"	"-0.21885"	"-0.40258"	"-0.27652"	"0.97195"	"0.03726"	"15.96662"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"5"	"MLE"	"0.9261"	"-0.18983"	"-0.15582"	"-0.35767"	"0.95812"	"0.04878"	"13.81208"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"6"	"MLE"	"1.37309"	"-0.13405"	"-0.11342"	"-0.21294"	"0.8646"	"0.07721"	"10.1381"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"7"	"MLE"	"0.95973"	"-0.20384"	"-0.181"	"-0.18471"	"0.93123"	"0.04974"	"13.6564"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"8"	"max"	"0.1"	"-0.76609"	"-1.73988"	"-0.89989"	"0.45935"	"0.14879"	"4.89009"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"9"	"max"	"0.1"	"-1.09884"	"-1.20147"	"-1.04849"	"0.41186"	"0.13842"	"5.46806"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"10"	"MLE"	"0.40473"	"-0.59533"	"-0.52555"	"-0.22057"	"0.90335"	"0.08078"	"9.77682"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"11"	"MLE"	"4.09545"	"-0.05257"	"-0.08045"	"-0.03664"	"0.96388"	"0.04111"	"15.18042"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"12"	"MLE"	"0.33989"	"-0.59502"	"-0.47045"	"-0.34416"	"0.95771"	"0.04525"	"14.41246"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"13"	"MLE"	"1.1382"	"-0.1905"	"-0.12925"	"-0.22106"	"0.81574"	"0.10247"	"7.87411"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"14"	"MLE"	"0.85293"	"-0.21466"	"-0.22024"	"-0.25214"	"0.98766"	"0.02255"	"19.98518"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"15"	"MLE"	"8.20006"	"-0.0241"	"-0.03083"	"-0.01929"	"0.90687"	"0.0548"	"12.8812"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"16"	"MLE"	"0.65171"	"-0.20878"	"-0.39652"	"-0.3613"	"0.90125"	"0.08671"	"9.21027"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"17"	"max"	"0.1"	"-0.96856"	"-0.7935"	"-1.60536"	"0.28164"	"0.14568"	"5.05941"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"18"	"MLE"	"0.48592"	"-0.44077"	"-0.3663"	"-0.27673"	"0.96657"	"0.03932"	"15.53719"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"19"	"MLE"	"2.27398"	"-0.06267"	"-0.12045"	"-0.08681"	"0.95998"	"0.03857"	"15.68999"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"20"	"RDB"	"0.47731"	"-0.34012"	"-0.27197"	"-0.43977"	"0.80289"	"0.07867"	"9.98841"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"21"	"max"	"0.1"	"-1.11236"	"-1.17081"	"-1.10863"	"0.06739"	"0.17382"	"3.64633"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"22"	"MLE"	"0.54593"	"-0.28344"	"-0.47028"	"-0.22937"	"0.93783"	"0.05146"	"13.38447"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"23"	"MLE"	"0.33663"	"-0.39328"	"-0.43022"	"-0.7247"	"0.93865"	"0.06447"	"11.581"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"24"	"MLE"	"0.85584"	"-0.13017"	"-0.25995"	"-0.26328"	"0.92611"	"0.0576"	"12.48209"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"25"	"MLE"	"0.96832"	"-0.1933"	"-0.25846"	"-0.2378"	"0.91009"	"0.07331"	"10.55276"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"26"	"MLE"	"0.7155"	"-0.26105"	"-0.25036"	"-0.31884"	"0.97947"	"0.03045"	"17.58086"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"27"	"MLE"	"1.33341"	"-0.14054"	"-0.14389"	"-0.18797"	"0.95885"	"0.042"	"15.00887"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"28"	"MLE"	"2.56391"	"-0.08829"	"-0.09596"	"-0.07139"	"0.89222"	"0.06557"	"11.44592"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"29"	"MLE"	"0.75093"	"-0.18417"	"-0.34523"	"-0.23962"	"0.94444"	"0.05197"	"13.30488"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"30"	"MLE"	"2.58616"	"-0.0846"	"-0.09561"	"-0.07342"	"0.98166"	"0.02509"	"19.13221"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"31"	"RDB"	"0.78346"	"-0.27719"	"-0.29037"	"-0.1859"	"0.70686"	"0.10018"	"8.0544"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"32"	"MLE"	"0.86373"	"-0.25796"	"-0.19346"	"-0.16911"	"0.7989"	"0.08003"	"9.85097"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"33"	"MLE"	"0.26213"	"-0.39157"	"-0.58286"	"-0.69834"	"0.91008"	"0.06853"	"11.09272"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"34"	"MLE"	"1.50861"	"-0.18924"	"-0.18215"	"-0.05813"	"0.98263"	"0.02994"	"17.71671"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"35"	"MLE"	"0.36726"	"-0.52603"	"-0.37858"	"-0.5401"	"0.99065"	"0.02352"	"19.64747"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"36"	"MLE"	"1.62103"	"-0.0793"	"-0.12748"	"-0.17975"	"0.99045"	"0.01929"	"21.23508"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"37"	"MLE"	"0.94442"	"-0.1712"	"-0.20802"	"-0.28425"	"0.94087"	"0.05611"	"12.69202"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"38"	"MLE"	"0.63509"	"-0.185"	"-0.42477"	"-0.26216"	"0.96477"	"0.03971"	"15.45688"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"39"	"max"	"0.1"	"-1.85629"	"-0.86487"	"-0.95228"	"0.43946"	"0.15117"	"4.76341"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"40"	"MLE"	"0.27585"	"-0.55504"	"-0.73829"	"-0.55805"	"0.92275"	"0.0786"	"9.99529"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"41"	"max"	"0.1"	"-0.40004"	"-1.77325"	"-1.09947"	"0.13208"	"0.15126"	"4.75874"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"42"	"MLE"	"7.46108"	"-0.03007"	"-0.01933"	"-0.03706"	"0.86922"	"0.0762"	"10.24325"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"43"	"MLE"	"1.51261"	"-0.13113"	"-0.16663"	"-0.17322"	"0.94729"	"0.05393"	"13.00923"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"44"	"MLE"	"0.5484"	"-0.28378"	"-0.3447"	"-0.36068"	"0.93604"	"0.05754"	"12.49033"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"45"	"MLE"	"0.35098"	"-0.56943"	"-0.39981"	"-0.4345"	"0.94184"	"0.05621"	"12.67738"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"46"	"MLE"	"0.41987"	"-0.5621"	"-0.34104"	"-0.32844"	"0.90663"	"0.07314"	"10.57119"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"47"	"MLE"	"2.16792"	"-0.07634"	"-0.1526"	"-0.06072"	"0.87723"	"0.07774"	"10.08328"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"48"	"MLE"	"0.50467"	"-0.21662"	"-0.32726"	"-0.62858"	"0.93697"	"0.06545"	"11.46078"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"49"	"MLE"	"0.54796"	"-0.27911"	"-0.28108"	"-0.50333"	"0.7506"	"0.12774"	"6.11036"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"50"	"MLE"	"6.61929"	"-0.03445"	"-0.02789"	"-0.04032"	"0.9432"	"0.04505"	"14.44757"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"51"	"MLE"	"2.85659"	"-0.09485"	"-0.04498"	"-0.07716"	"0.97676"	"0.0274"	"18.42556"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"52"	"MLE"	"0.36212"	"-0.49071"	"-0.65964"	"-0.32368"	"0.98623"	"0.02912"	"17.93847"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"53"	"MLE"	"0.70657"	"-0.21873"	"-0.19666"	"-0.42091"	"0.99004"	"0.02219"	"20.11182"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"54"	"MLE"	"1.14583"	"-0.20105"	"-0.13137"	"-0.24249"	"0.8391"	"0.10745"	"7.49432"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"55"	"MLE"	"0.90499"	"-0.22681"	"-0.30903"	"-0.17515"	"0.97646"	"0.03529"	"16.40248"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"56"	"MLE"	"2.82598"	"-0.06027"	"-0.08477"	"-0.09779"	"0.9906"	"0.01901"	"21.35013"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"57"	"MLE"	"0.81957"	"-0.32067"	"-0.25171"	"-0.20775"	"0.89796"	"0.0798"	"9.87479"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"58"	"MLE"	"0.25904"	"-0.33452"	"-0.5561"	"-0.87399"	"0.98427"	"0.02911"	"17.94105"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"59"	"MLE"	"2.36064"	"-0.10529"	"-0.0832"	"-0.10001"	"0.91458"	"0.06503"	"11.51201"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"60"	"MLE"	"0.19569"	"-0.97715"	"-0.67194"	"-0.5482"	"0.95311"	"0.05414"	"12.97805"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"61"	"MLE"	"0.60633"	"-0.24917"	"-0.41864"	"-0.35397"	"0.94658"	"0.05762"	"12.47961"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"62"	"MLE"	"2.97315"	"-0.08614"	"-0.06685"	"-0.05954"	"0.81674"	"0.08324"	"9.53635"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"63"	"MLE"	"0.42364"	"-0.44992"	"-0.35074"	"-0.47345"	"0.90508"	"0.07426"	"10.44984"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"64"	"MLE"	"0.76945"	"-0.28293"	"-0.30612"	"-0.2402"	"0.99337"	"0.01842"	"21.6037"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"65"	"MLE"	"2.01476"	"-0.13467"	"-0.08524"	"-0.1148"	"0.97644"	"0.0324"	"17.08528"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"66"	"max"	"0.1"	"-1.21057"	"-1.07343"	"-1.20017"	"0.13525"	"0.17922"	"3.4018"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"67"	"max"	"0.1"	"-0.83493"	"-1.72655"	"-0.86957"	"-0.05539"	"0.1698"	"3.83334"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"68"	"MLE"	"1.08399"	"-0.17128"	"-0.25726"	"-0.14738"	"0.9651"	"0.04082"	"15.23652"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"69"	"MLE"	"0.54217"	"-0.20308"	"-0.42539"	"-0.39379"	"0.96923"	"0.03915"	"15.57172"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"70"	"RDB"	"0.52586"	"-0.51531"	"-0.32846"	"-0.23798"	"0.86035"	"0.07297"	"10.59043"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"71"	"MLE"	"1.31799"	"-0.08379"	"-0.19144"	"-0.22898"	"0.95523"	"0.05093"	"13.46667"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"72"	"MLE"	"0.73514"	"-0.31592"	"-0.23299"	"-0.31986"	"0.9394"	"0.05746"	"12.50141"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"73"	"MLE"	"2.26159"	"-0.08643"	"-0.09731"	"-0.10391"	"0.93984"	"0.0501"	"13.5989"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"74"	"MLE"	"3.4948"	"-0.09057"	"-0.04044"	"-0.05999"	"0.95578"	"0.04245"	"14.92397"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"75"	"max"	"0.1"	"-1.72092"	"-1.06804"	"-0.81323"	"0.31663"	"0.15674"	"4.47391"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"76"	"RDB"	"0.82711"	"-0.14123"	"-0.32496"	"-0.25729"	"0.87516"	"0.07177"	"10.72305"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"77"	"MLE"	"3.11464"	"-0.04619"	"-0.07704"	"-0.08046"	"0.96512"	"0.03487"	"16.49642"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"78"	"MLE"	"1.86662"	"-0.08635"	"-0.14302"	"-0.11547"	"0.9799"	"0.02877"	"18.03542"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"79"	"MLE"	"1.77237"	"-0.12822"	"-0.12227"	"-0.10082"	"0.9377"	"0.05139"	"13.39424"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"80"	"RDB"	"0.64995"	"-0.30545"	"-0.25169"	"-0.32342"	"0.88215"	"0.06291"	"11.77745"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"81"	"MLE"	"0.63042"	"-0.34796"	"-0.20861"	"-0.36913"	"0.98506"	"0.02666"	"18.64462"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"82"	"MLE"	"0.95548"	"-0.21018"	"-0.27367"	"-0.24672"	"0.9805"	"0.0336"	"16.79326"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"83"	"MLE"	"1.14456"	"-0.19581"	"-0.13549"	"-0.14796"	"0.91345"	"0.05599"	"12.70885"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"84"	"RDB"	"1.01475"	"-0.11104"	"-0.22733"	"-0.18901"	"0.93402"	"0.0422"	"14.97071"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"85"	"MLE"	"5.16251"	"-0.05153"	"-0.04944"	"-0.0365"	"0.97671"	"0.0284"	"18.13813"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"86"	"MLE"	"5.43149"	"-0.05077"	"-0.03621"	"-0.03111"	"0.84755"	"0.07805"	"10.05192"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"87"	"MLE"	"1.00314"	"-0.15324"	"-0.19544"	"-0.20915"	"0.8604"	"0.07029"	"10.88913"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"88"	"MLE"	"0.55456"	"-0.38482"	"-0.32137"	"-0.33999"	"0.98387"	"0.02969"	"17.78531"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"89"	"MLE"	"1.81914"	"-0.10997"	"-0.09177"	"-0.13033"	"0.93718"	"0.0458"	"14.31554"	NA
"stick"	"3"	"-0.2"	"0.08"	"1"	"90"	"MLE"	"2.86584"	"-0.07655"	"-0.07166"	"-0.08124"	"0.94324"	"0.04423"	"14.59514"	NA
